Mike	17:55 3/3/2016	149
Mike	17:56 3/3/2016	93
Jim	17:56 3/3/2016	180
Tom	17:56 3/3/2016	138
Mike	17:57 3/3/2016	87
Jim	17:57 3/3/2016	109
Tom	17:57 3/3/2016	107
Mike	17:58 3/3/2016	139
Jim	17:58 3/3/2016	96
Tom	17:58 3/3/2016	160
Mike	16:20 3/5/2016	107
Jim	16:20 3/5/2016	136
Mike	16:57 3/5/2016	137
Jim	16:57 3/5/2016	113
Tom	16:57 3/5/2016	120
Lana	16:57 3/5/2016	132
TomH	16:57 3/5/2016	109
jen	16:57 3/5/2016	120
giv	16:57 3/5/2016	146
djuhwshb	16:57 3/5/2016	103
Jim	16:59 3/5/2016	142
Tom	16:59 3/5/2016	152
Mike	12:26 4/2/2016	181
Jim	12:26 4/2/2016	0
Mike	12:45 4/2/2016	0
Jim	12:45 4/2/2016	0
Mike	17:29 4/3/2016	107
Tom	17:29 4/3/2016	136
Lana	17:29 4/3/2016	150
Mike	17:36 4/3/2016	148
Tom	17:36 4/3/2016	119
Mike	17:36 4/3/2016	116
Tom	17:37 4/3/2016	140
Mike	19:37 4/6/2016	167
Jim	19:37 4/6/2016	140
Tom	19:37 4/6/2016	140
